"filename", "language", "SCSS", "JavaScript", "HTML", "JSON", "SQL", "XML", "CSS", "comment", "blank", "total"
"/Users/haritha/Development/meet.hasathcharu.com/app.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 24, 69
"/Users/haritha/Development/meet.hasathcharu.com/controllers/admin.js", "JavaScript", 0, 394, 0, 0, 0, 0, 0, 0, 30, 424
"/Users/haritha/Development/meet.hasathcharu.com/controllers/auth.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/haritha/Development/meet.hasathcharu.com/controllers/error.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/haritha/Development/meet.hasathcharu.com/controllers/form.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 1, 13, 81
"/Users/haritha/Development/meet.hasathcharu.com/controllers/front.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/haritha/Development/meet.hasathcharu.com/controllers/join.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 6, 118
"/Users/haritha/Development/meet.hasathcharu.com/controllers/user.js", "JavaScript", 0, 372, 0, 0, 0, 0, 0, 0, 18, 390
"/Users/haritha/Development/meet.hasathcharu.com/controllers/zoomSync.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 1, 6, 81
"/Users/haritha/Development/meet.hasathcharu.com/database/db.sql", "SQL", 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"/Users/haritha/Development/meet.hasathcharu.com/models/user.js", "JavaScript", 0, 179, 0, 0, 0, 0, 0, 0, 3, 182
"/Users/haritha/Development/meet.hasathcharu.com/models/zoomLink.js", "JavaScript", 0, 197, 0, 0, 0, 0, 0, 2, 2, 201
"/Users/haritha/Development/meet.hasathcharu.com/package-lock.json", "JSON", 0, 0, 0, 2885, 0, 0, 0, 0, 1, 2886
"/Users/haritha/Development/meet.hasathcharu.com/package.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 1, 38
"/Users/haritha/Development/meet.hasathcharu.com/public/browserconfig.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"/Users/haritha/Development/meet.hasathcharu.com/public/css/main.css", "CSS", 0, 0, 0, 0, 0, 0, 851, 5, 67, 923
"/Users/haritha/Development/meet.hasathcharu.com/public/favicon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/haritha/Development/meet.hasathcharu.com/public/images/text.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/haritha/Development/meet.hasathcharu.com/public/images/zoom1.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/haritha/Development/meet.hasathcharu.com/public/js/assignUser.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 2, 15
"/Users/haritha/Development/meet.hasathcharu.com/public/js/assigner.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 9, 4, 149
"/Users/haritha/Development/meet.hasathcharu.com/public/js/banner.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/haritha/Development/meet.hasathcharu.com/public/js/changepassword.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 9, 75
"/Users/haritha/Development/meet.hasathcharu.com/public/js/changepasswordadmin.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 9, 68
"/Users/haritha/Development/meet.hasathcharu.com/public/js/dark.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 46
"/Users/haritha/Development/meet.hasathcharu.com/public/js/deleteAccount.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 10, 69
"/Users/haritha/Development/meet.hasathcharu.com/public/js/deleteAccountAdmin.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"/Users/haritha/Development/meet.hasathcharu.com/public/js/editprofile.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 10, 78
"/Users/haritha/Development/meet.hasathcharu.com/public/js/editprofileadmin.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 10, 78
"/Users/haritha/Development/meet.hasathcharu.com/public/js/form.js", "JavaScript", 0, 277, 0, 0, 0, 0, 0, 2, 15, 294
"/Users/haritha/Development/meet.hasathcharu.com/public/js/linkManage.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 3, 56
"/Users/haritha/Development/meet.hasathcharu.com/public/js/main.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/haritha/Development/meet.hasathcharu.com/public/js/modal.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 8, 4, 59
"/Users/haritha/Development/meet.hasathcharu.com/public/js/pageload.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 15, 3, 62
"/Users/haritha/Development/meet.hasathcharu.com/public/js/pageloadn.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/haritha/Development/meet.hasathcharu.com/public/js/signup.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 10, 84
"/Users/haritha/Development/meet.hasathcharu.com/public/js/userApprove.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/haritha/Development/meet.hasathcharu.com/public/js/userprofile.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 1, 7, 146
"/Users/haritha/Development/meet.hasathcharu.com/public/js/zoomlink.js", "JavaScript", 0, 143, 0, 0, 0, 0, 0, 0, 15, 158
"/Users/haritha/Development/meet.hasathcharu.com/public/safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"/Users/haritha/Development/meet.hasathcharu.com/public/site.webmanifest", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"/Users/haritha/Development/meet.hasathcharu.com/routes/admin.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 27, 54
"/Users/haritha/Development/meet.hasathcharu.com/routes/auth.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 4, 14
"/Users/haritha/Development/meet.hasathcharu.com/routes/front.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 7, 15
"/Users/haritha/Development/meet.hasathcharu.com/routes/join.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 7, 15
"/Users/haritha/Development/meet.hasathcharu.com/routes/user.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 21, 42
"/Users/haritha/Development/meet.hasathcharu.com/routes/zoomSync.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 10, 19
"/Users/haritha/Development/meet.hasathcharu.com/src/css/_admin.scss", "SCSS", 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/haritha/Development/meet.hasathcharu.com/src/css/_banner.scss", "SCSS", 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"/Users/haritha/Development/meet.hasathcharu.com/src/css/_dropmenu.scss", "SCSS", 75, 0, 0, 0, 0, 0, 0, 0, 1, 76
"/Users/haritha/Development/meet.hasathcharu.com/src/css/_error.scss", "SCSS", 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/haritha/Development/meet.hasathcharu.com/src/css/_header.scss", "SCSS", 96, 0, 0, 0, 0, 0, 0, 0, 1, 97
"/Users/haritha/Development/meet.hasathcharu.com/src/css/_input.scss", "SCSS", 123, 0, 0, 0, 0, 0, 0, 0, 5, 128
"/Users/haritha/Development/meet.hasathcharu.com/src/css/_loader.scss", "SCSS", 135, 0, 0, 0, 0, 0, 0, 44, 5, 184
"/Users/haritha/Development/meet.hasathcharu.com/src/css/_modal.scss", "SCSS", 87, 0, 0, 0, 0, 0, 0, 0, 3, 90
"/Users/haritha/Development/meet.hasathcharu.com/src/css/_profile.scss", "SCSS", 65, 0, 0, 0, 0, 0, 0, 0, 3, 68
"/Users/haritha/Development/meet.hasathcharu.com/src/css/_variables.scss", "SCSS", 105, 0, 0, 0, 0, 0, 0, 0, 2, 107
"/Users/haritha/Development/meet.hasathcharu.com/src/css/body.scss", "SCSS", 129, 0, 0, 0, 0, 0, 0, 1, 4, 134
"/Users/haritha/Development/meet.hasathcharu.com/utils/database.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/haritha/Development/meet.hasathcharu.com/utils/version.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/haritha/Development/meet.hasathcharu.com/views/admin/changepassword.ejs", "HTML", 0, 0, 60, 0, 0, 0, 0, 0, 2, 62
"/Users/haritha/Development/meet.hasathcharu.com/views/admin/delete.ejs", "HTML", 0, 0, 56, 0, 0, 0, 0, 0, 2, 58
"/Users/haritha/Development/meet.hasathcharu.com/views/admin/firstTime.ejs", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"/Users/haritha/Development/meet.hasathcharu.com/views/admin/home.ejs", "HTML", 0, 0, 68, 0, 0, 0, 0, 1, 4, 73
"/Users/haritha/Development/meet.hasathcharu.com/views/admin/login.ejs", "HTML", 0, 0, 46, 0, 0, 0, 0, 0, 2, 48
"/Users/haritha/Development/meet.hasathcharu.com/views/admin/manage.ejs", "HTML", 0, 0, 129, 0, 0, 0, 0, 0, 7, 136
"/Users/haritha/Development/meet.hasathcharu.com/views/admin/notApproved.ejs", "HTML", 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"/Users/haritha/Development/meet.hasathcharu.com/views/admin/signup.ejs", "HTML", 0, 0, 91, 0, 0, 0, 0, 0, 2, 93
"/Users/haritha/Development/meet.hasathcharu.com/views/admin/userProfile.ejs", "HTML", 0, 0, 78, 0, 0, 0, 0, 1, 4, 83
"/Users/haritha/Development/meet.hasathcharu.com/views/error/error.ejs", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/haritha/Development/meet.hasathcharu.com/views/front/link.ejs", "HTML", 0, 0, 58, 0, 0, 0, 0, 0, 6, 64
"/Users/haritha/Development/meet.hasathcharu.com/views/front/over.ejs", "HTML", 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"/Users/haritha/Development/meet.hasathcharu.com/views/includes/end.ejs", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/haritha/Development/meet.hasathcharu.com/views/includes/head.ejs", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 5, 43
"/Users/haritha/Development/meet.hasathcharu.com/views/includes/loader.ejs", "HTML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/haritha/Development/meet.hasathcharu.com/views/includes/navigation.ejs", "HTML", 0, 0, 33, 0, 0, 0, 0, 0, 2, 35
"Total", "-", 877, 3028, 750, 2941, 32, 36, 851, 96, 457, 9068