"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/controllers/admin.js", "JavaScript", 236, 0, 0, 30, 266
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/controllers/auth.js", "JavaScript", 30, 0, 0, 3, 33
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/controllers/error.js", "JavaScript", 3, 0, 0, 0, 3
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/controllers/form.js", "JavaScript", 68, 0, 0, 13, 81
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/controllers/front.js", "JavaScript", 33, 0, 0, 4, 37
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/controllers/join.js", "JavaScript", 7, 0, 0, 6, 13
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/controllers/user.js", "JavaScript", 193, 0, 0, 13, 206
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/controllers/zoomSync.js", "JavaScript", 53, 0, 1, 3, 57
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/index.js", "JavaScript", 21, 0, 0, 11, 32
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/models/user.js", "JavaScript", 234, 0, 0, 3, 237
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/models/zoomLink.js", "JavaScript", 206, 0, 2, 3, 211
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/package-lock.json", "JSON", 0, 2128, 0, 1, 2129
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/package.json", "JSON", 0, 24, 0, 1, 25
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/routes.js", "JavaScript", 0, 0, 49, 7, 56
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/routes/admin.js", "JavaScript", 52, 0, 0, 24, 76
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/routes/auth.js", "JavaScript", 10, 0, 0, 5, 15
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/routes/front.js", "JavaScript", 7, 0, 1, 7, 15
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/routes/join.js", "JavaScript", 7, 0, 1, 7, 15
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/routes/user.js", "JavaScript", 37, 0, 0, 17, 54
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/routes/zoomSync.js", "JavaScript", 7, 0, 0, 8, 15
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/utils/database.js", "JavaScript", 9, 0, 0, 1, 10
"/Users/haritha/Development/meet.hasathcharu.com/meetapi/utils/version.js", "JavaScript", 1, 0, 0, 0, 1
"Total", "-", 1214, 2152, 54, 167, 3587